StartTime;EndTime;HomeChannel;HomeTitle;HomeIcon;HomeAway;AwayChannel;AwayTitle;AwayIcon;ProgramDesc
20210414000000;20210415032500;1;No streaming;https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Major_League_Baseball_logo.svg/1920px-Major_League_Baseball_logo.svg.png;;;;;At this time, there is no game available.
20210415032500;20210415084000;1;Dodgers vs Rockies (04:10);https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/Los_Angeles_Dodgers_logo_%28low_res%29.svg/1024px-Los_Angeles_Dodgers_logo_%28low_res%29.svg.png;;10;Rockies @ Dodgers (04:10);https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Colorado_Rockies_logo.svg/800px-Colorado_Rockies_logo.svg.png;Live streaming of a night game (2/3 of the series) of the Colorado Rockies at the Los Angeles Dodgers. First pitch is at 04:10. This game is played at Dodger Stadium on April 14, 2021
20210415084000;20210416032500;1;No streaming;https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Major_League_Baseball_logo.svg/1920px-Major_League_Baseball_logo.svg.png;;;;;At this time, there is no game available.
20210416032500;20210416084000;1;Dodgers vs Rockies (04:10);https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/Los_Angeles_Dodgers_logo_%28low_res%29.svg/1024px-Los_Angeles_Dodgers_logo_%28low_res%29.svg.png;;10;Rockies @ Dodgers (04:10);https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Colorado_Rockies_logo.svg/800px-Colorado_Rockies_logo.svg.png;Live streaming of a night game (3/3 of the series) of the Colorado Rockies at the Los Angeles Dodgers. First pitch is at 04:10. This game is played at Dodger Stadium on April 15, 2021
20210416084000;20210417032500;1;No streaming;https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Major_League_Baseball_logo.svg/1920px-Major_League_Baseball_logo.svg.png;;;;;At this time, there is no game available.
20210417032500;20210417084000;1;Dodgers @ Padres (04:10);https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/Los_Angeles_Dodgers_logo_%28low_res%29.svg/1024px-Los_Angeles_Dodgers_logo_%28low_res%29.svg.png;@;23;Padres vs Dodgers (04:10);https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/SD_Logo_Brown.svg/800px-SD_Logo_Brown.svg.png;Live streaming of a night game (1/3 of the series) of the Los Angeles Dodgers at the San Diego Padres. First pitch is at 04:10. This game is played at Petco Park on April 16, 2021
20210417084000;20210418015500;1;No streaming;https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Major_League_Baseball_logo.svg/1920px-Major_League_Baseball_logo.svg.png;;;;;At this time, there is no game available.
20210418015500;20210418071000;1;Dodgers @ Padres (02:40);https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/Los_Angeles_Dodgers_logo_%28low_res%29.svg/1024px-Los_Angeles_Dodgers_logo_%28low_res%29.svg.png;@;23;Padres vs Dodgers (02:40);https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/SD_Logo_Brown.svg/800px-SD_Logo_Brown.svg.png;Live streaming of a night game (2/3 of the series) of the Los Angeles Dodgers at the San Diego Padres. First pitch is at 02:40. This game is played at Petco Park on April 17, 2021
20210418071000;20210418212500;1;No streaming;https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Major_League_Baseball_logo.svg/1920px-Major_League_Baseball_logo.svg.png;;;;;At this time, there is no game available.
20210418212500;20210419024000;1;Dodgers @ Padres (22:10);https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/Los_Angeles_Dodgers_logo_%28low_res%29.svg/1024px-Los_Angeles_Dodgers_logo_%28low_res%29.svg.png;@;23;Padres vs Dodgers (22:10);https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/SD_Logo_Brown.svg/800px-SD_Logo_Brown.svg.png;Live streaming of a day game (3/3 of the series) of the Los Angeles Dodgers at the San Diego Padres. First pitch is at 22:10. This game is played at Petco Park on April 18, 2021
20210419024000;20210420032500;1;No streaming;https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Major_League_Baseball_logo.svg/1920px-Major_League_Baseball_logo.svg.png;;;;;At this time, there is no game available.
20210420032500;20210420084000;1;Dodgers @ Mariners (04:10);https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/Los_Angeles_Dodgers_logo_%28low_res%29.svg/1024px-Los_Angeles_Dodgers_logo_%28low_res%29.svg.png;@;25;Mariners vs Dodgers (04:10);https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/Seattle_Mariners_logo_%28low_res%29.svg/1024px-Seattle_Mariners_logo_%28low_res%29.svg.png;Live streaming of a night game (1/2 of the series) of the Los Angeles Dodgers at the Seattle Mariners. First pitch is at 04:10. This game is played at T-Mobile Park on April 19, 2021
20210420084000;20210420212500;1;No streaming;https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Major_League_Baseball_logo.svg/1920px-Major_League_Baseball_logo.svg.png;;;;;At this time, there is no game available.
20210420212500;20210421024000;1;Dodgers @ Mariners (22:10);https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/Los_Angeles_Dodgers_logo_%28low_res%29.svg/1024px-Los_Angeles_Dodgers_logo_%28low_res%29.svg.png;@;25;Mariners vs Dodgers (22:10);https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/Seattle_Mariners_logo_%28low_res%29.svg/1024px-Seattle_Mariners_logo_%28low_res%29.svg.png;Live streaming of a day game (2/2 of the series) of the Los Angeles Dodgers at the Seattle Mariners. First pitch is at 22:10. This game is played at T-Mobile Park on April 20, 2021
20210421024000;20210423032500;1;No streaming;https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Major_League_Baseball_logo.svg/1920px-Major_League_Baseball_logo.svg.png;;;;;At this time, there is no game available.
20210423032500;20210423084000;1;Dodgers vs Padres (04:10);https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/Los_Angeles_Dodgers_logo_%28low_res%29.svg/1024px-Los_Angeles_Dodgers_logo_%28low_res%29.svg.png;;23;Padres @ Dodgers (04:10);https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/SD_Logo_Brown.svg/800px-SD_Logo_Brown.svg.png;Live streaming of a night game (1/4 of the series) of the San Diego Padres at the Los Angeles Dodgers. First pitch is at 04:10. This game is played at Dodger Stadium on April 22, 2021
20210423084000;20210424032500;1;No streaming;https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Major_League_Baseball_logo.svg/1920px-Major_League_Baseball_logo.svg.png;;;;;At this time, there is no game available.
