StartTime;EndTime;HomeChannel;HomeTitle;HomeIcon;HomeAway;AwayChannel;AwayTitle;AwayIcon;ProgramDesc
20210417000000;20210417235500;1;No streaming;https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Major_League_Baseball_logo.svg/1920px-Major_League_Baseball_logo.svg.png;;;;;At this time, there is no game available.
20210417235500;20210418051000;1;Dodgers @ Padres (02:40);https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/Los_Angeles_Dodgers_logo_%28low_res%29.svg/1024px-Los_Angeles_Dodgers_logo_%28low_res%29.svg.png;@;23;Padres vs Dodgers (02:40);https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/SD_Logo_Brown.svg/800px-SD_Logo_Brown.svg.png;Live streaming of a night game (2/3 of the series) of the Los Angeles Dodgers at the San Diego Padres. First pitch is at 02:40. This game is played at Petco Park on April 17, 2021
20210418051000;20210418192500;1;No streaming;https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Major_League_Baseball_logo.svg/1920px-Major_League_Baseball_logo.svg.png;;;;;At this time, there is no game available.
20210418192500;20210419004000;1;Dodgers @ Padres (22:10);https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/Los_Angeles_Dodgers_logo_%28low_res%29.svg/1024px-Los_Angeles_Dodgers_logo_%28low_res%29.svg.png;@;23;Padres vs Dodgers (22:10);https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/SD_Logo_Brown.svg/800px-SD_Logo_Brown.svg.png;Live streaming of a day game (3/3 of the series) of the Los Angeles Dodgers at the San Diego Padres. First pitch is at 22:10. This game is played at Petco Park on April 18, 2021
20210419004000;20210420012500;1;No streaming;https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Major_League_Baseball_logo.svg/1920px-Major_League_Baseball_logo.svg.png;;;;;At this time, there is no game available.
20210420012500;20210420064000;1;Dodgers @ Mariners (04:10);https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/Los_Angeles_Dodgers_logo_%28low_res%29.svg/1024px-Los_Angeles_Dodgers_logo_%28low_res%29.svg.png;@;25;Mariners vs Dodgers (04:10);https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/Seattle_Mariners_logo_%28low_res%29.svg/1024px-Seattle_Mariners_logo_%28low_res%29.svg.png;Live streaming of a night game (1/2 of the series) of the Los Angeles Dodgers at the Seattle Mariners. First pitch is at 04:10. This game is played at T-Mobile Park on April 19, 2021
20210420064000;20210420192500;1;No streaming;https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Major_League_Baseball_logo.svg/1920px-Major_League_Baseball_logo.svg.png;;;;;At this time, there is no game available.
20210420192500;20210421004000;1;Dodgers @ Mariners (22:10);https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/Los_Angeles_Dodgers_logo_%28low_res%29.svg/1024px-Los_Angeles_Dodgers_logo_%28low_res%29.svg.png;@;25;Mariners vs Dodgers (22:10);https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/Seattle_Mariners_logo_%28low_res%29.svg/1024px-Seattle_Mariners_logo_%28low_res%29.svg.png;Live streaming of a day game (2/2 of the series) of the Los Angeles Dodgers at the Seattle Mariners. First pitch is at 22:10. This game is played at T-Mobile Park on April 20, 2021
20210421004000;20210423012500;1;No streaming;https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Major_League_Baseball_logo.svg/1920px-Major_League_Baseball_logo.svg.png;;;;;At this time, there is no game available.
20210423012500;20210423064000;1;Dodgers vs Padres (04:10);https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/Los_Angeles_Dodgers_logo_%28low_res%29.svg/1024px-Los_Angeles_Dodgers_logo_%28low_res%29.svg.png;;23;Padres @ Dodgers (04:10);https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/SD_Logo_Brown.svg/800px-SD_Logo_Brown.svg.png;Live streaming of a night game (1/4 of the series) of the San Diego Padres at the Los Angeles Dodgers. First pitch is at 04:10. This game is played at Dodger Stadium on April 22, 2021
20210423064000;20210424012500;1;No streaming;https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Major_League_Baseball_logo.svg/1920px-Major_League_Baseball_logo.svg.png;;;;;At this time, there is no game available.
20210424012500;20210424064000;1;Dodgers vs Padres (04:10);https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/Los_Angeles_Dodgers_logo_%28low_res%29.svg/1024px-Los_Angeles_Dodgers_logo_%28low_res%29.svg.png;;23;Padres @ Dodgers (04:10);https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/SD_Logo_Brown.svg/800px-SD_Logo_Brown.svg.png;Live streaming of a night game (2/4 of the series) of the San Diego Padres at the Los Angeles Dodgers. First pitch is at 04:10. This game is played at Dodger Stadium on April 23, 2021
20210424064000;20210425002500;1;No streaming;https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Major_League_Baseball_logo.svg/1920px-Major_League_Baseball_logo.svg.png;;;;;At this time, there is no game available.
20210425002500;20210425054000;1;Dodgers vs Padres (03:10);https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/Los_Angeles_Dodgers_logo_%28low_res%29.svg/1024px-Los_Angeles_Dodgers_logo_%28low_res%29.svg.png;;23;Padres @ Dodgers (03:10);https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/SD_Logo_Brown.svg/800px-SD_Logo_Brown.svg.png;Live streaming of a night game (3/4 of the series) of the San Diego Padres at the Los Angeles Dodgers. First pitch is at 03:10. This game is played at Dodger Stadium on April 24, 2021
20210425054000;20210425222300;1;No streaming;https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Major_League_Baseball_logo.svg/1920px-Major_League_Baseball_logo.svg.png;;;;;At this time, there is no game available.
20210425222300;20210426033800;1;Dodgers vs Padres (01:08);https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/Los_Angeles_Dodgers_logo_%28low_res%29.svg/1024px-Los_Angeles_Dodgers_logo_%28low_res%29.svg.png;;23;Padres @ Dodgers (01:08);https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/SD_Logo_Brown.svg/800px-SD_Logo_Brown.svg.png;Live streaming of a day game (4/4 of the series) of the San Diego Padres at the Los Angeles Dodgers. First pitch is at 01:08. This game is played at Dodger Stadium on April 25, 2021
20210426033800;20210427012500;1;No streaming;https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Major_League_Baseball_logo.svg/1920px-Major_League_Baseball_logo.svg.png;;;;;At this time, there is no game available.
20210427012500;20210427064000;1;Dodgers vs Reds (04:10);https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/Los_Angeles_Dodgers_logo_%28low_res%29.svg/1024px-Los_Angeles_Dodgers_logo_%28low_res%29.svg.png;;8;Reds @ Dodgers (04:10);https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Cincinnati_Reds_Logo.svg/1920px-Cincinnati_Reds_Logo.svg.png;Live streaming of a night game (1/3 of the series) of the Cincinnati Reds at the Los Angeles Dodgers. First pitch is at 04:10. This game is played at Dodger Stadium on April 26, 2021
20210427064000;20210428012500;1;No streaming;https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Major_League_Baseball_logo.svg/1920px-Major_League_Baseball_logo.svg.png;;;;;At this time, there is no game available.
20210428012500;20210428064000;1;Dodgers vs Reds (04:10);https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/Los_Angeles_Dodgers_logo_%28low_res%29.svg/1024px-Los_Angeles_Dodgers_logo_%28low_res%29.svg.png;;8;Reds @ Dodgers (04:10);https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Cincinnati_Reds_Logo.svg/1920px-Cincinnati_Reds_Logo.svg.png;Live streaming of a night game (2/3 of the series) of the Cincinnati Reds at the Los Angeles Dodgers. First pitch is at 04:10. This game is played at Dodger Stadium on April 27, 2021
20210428064000;20210428192500;1;No streaming;https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Major_League_Baseball_logo.svg/1920px-Major_League_Baseball_logo.svg.png;;;;;At this time, there is no game available.
20210428192500;20210429004000;1;Dodgers vs Reds (22:10);https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/Los_Angeles_Dodgers_logo_%28low_res%29.svg/1024px-Los_Angeles_Dodgers_logo_%28low_res%29.svg.png;;8;Reds @ Dodgers (22:10);https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Cincinnati_Reds_Logo.svg/1920px-Cincinnati_Reds_Logo.svg.png;Live streaming of a day game (3/3 of the series) of the Cincinnati Reds at the Los Angeles Dodgers. First pitch is at 22:10. This game is played at Dodger Stadium on April 28, 2021
20210429004000;20210429225500;1;No streaming;https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Major_League_Baseball_logo.svg/1920px-Major_League_Baseball_logo.svg.png;;;;;At this time, there is no game available.
20210429225500;20210430041000;1;Dodgers @ Brewers (01:40);https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/Los_Angeles_Dodgers_logo_%28low_res%29.svg/1024px-Los_Angeles_Dodgers_logo_%28low_res%29.svg.png;@;16;Brewers vs Dodgers (01:40);https://upload.wikimedia.org/wikipedia/en/thumb/b/b8/Milwaukee_Brewers_logo.svg/1024px-Milwaukee_Brewers_logo.svg.png;Live streaming of a night game (1/4 of the series) of the Los Angeles Dodgers at the Milwaukee Brewers. First pitch is at 01:40. This game is played at American Family Field on April 29, 2021
20210430041000;20210501000000;1;No streaming;https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Major_League_Baseball_logo.svg/1920px-Major_League_Baseball_logo.svg.png;;;;;At this time, there is no game available.
20210417000000;20210417162000;2;No streaming;https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Major_League_Baseball_logo.svg/1920px-Major_League_Baseball_logo.svg.png;;;;;At this time, there is no game available.
20210417162000;20210417213500;2;D-backs @ Nationals (19:05);https://upload.wikimedia.org/wikipedia/en/thumb/5/54/Arizona_Diamondbacks_logo_%28low_res%29.svg/1280px-Arizona_Diamondbacks_logo_%28low_res%29.svg.png;@;30;Nationals vs D-backs (19:05);https://upload.wikimedia.org/wikipedia/en/thumb/6/6c/Washington_Nationals_logo_%28low_res%29.svg/1024px-Washington_Nationals_logo_%28low_res%29.svg.png;Live streaming of a day game (3/4 of the series) of the Arizona Diamondbacks at the Washington Nationals. First pitch is at 19:05. This game is played at Nationals Park on April 17, 2021
20210417213500;20210418162000;2;No streaming;https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Major_League_Baseball_logo.svg/1920px-Major_League_Baseball_logo.svg.png;;;;;At this time, there is no game available.
20210418162000;20210418213500;2;D-backs @ Nationals (19:05);https://upload.wikimedia.org/wikipedia/en/thumb/5/54/Arizona_Diamondbacks_logo_%28low_res%29.svg/1280px-Arizona_Diamondbacks_logo_%28low_res%29.svg.png;@;30;Nationals vs D-backs (19:05);https://upload.wikimedia.org/wikipedia/en/thumb/6/6c/Washington_Nationals_logo_%28low_res%29.svg/1024px-Washington_Nationals_logo_%28low_res%29.svg.png;Live streaming of a day game (4/4 of the series) of the Arizona Diamondbacks at the Washington Nationals. First pitch is at 19:05. This game is played at Nationals Park on April 18, 2021
20210418213500;20210420215500;2;No streaming;https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Major_League_Baseball_logo.svg/1920px-Major_League_Baseball_logo.svg.png;;;;;At this time, there is no game available.
