StartTime;EndTime;Channel;Channel_ID;Icon;Program;ProgramDesc
20210417030700;20210417041000;ESPN;1;https://logodownload.org/wp-content/uploads/2015/05/espn-logo.png;ESPN Vandaag;"Seizoen 2020-2021 - Aflevering 258 van 365

Een round-up van de dag op ESPN en het belangrijkste en opvallendste (inter)nationale sportnieuws. In ESPN Vandaag wordt de kijker volledig bijgepraat aan de hand van highlights, reportages, rubrieken en social media."
20210417041000;20210417050000;ESPN;1;https://logodownload.org/wp-content/uploads/2015/05/espn-logo.png;ESPN Vandaag;"Seizoen 2020-2021 - Aflevering 258 van 365

Een round-up van de dag op ESPN en het belangrijkste en opvallendste (inter)nationale sportnieuws. In ESPN Vandaag wordt de kijker volledig bijgepraat aan de hand van highlights, reportages, rubrieken en social media."
20210417050000;20210417060000;ESPN;1;https://logodownload.org/wp-content/uploads/2015/05/espn-logo.png;ESPN Vandaag;"Seizoen 2020-2021 - Aflevering 258 van 365

Een round-up van de dag op ESPN en het belangrijkste en opvallendste (inter)nationale sportnieuws. In ESPN Vandaag wordt de kijker volledig bijgepraat aan de hand van highlights, reportages, rubrieken en social media."
20210417060000;20210417070000;ESPN;1;https://logodownload.org/wp-content/uploads/2015/05/espn-logo.png;ESPN Vandaag;"Seizoen 2020-2021 - Aflevering 258 van 365

Een round-up van de dag op ESPN en het belangrijkste en opvallendste (inter)nationale sportnieuws. In ESPN Vandaag wordt de kijker volledig bijgepraat aan de hand van highlights, reportages, rubrieken en social media."
20210417070000;20210417080000;ESPN;1;https://logodownload.org/wp-content/uploads/2015/05/espn-logo.png;ESPN Vandaag;"Seizoen 2020-2021 - Aflevering 258 van 365

Een round-up van de dag op ESPN en het belangrijkste en opvallendste (inter)nationale sportnieuws. In ESPN Vandaag wordt de kijker volledig bijgepraat aan de hand van highlights, reportages, rubrieken en social media."
20210417080000;20210417081500;ESPN;1;https://logodownload.org/wp-content/uploads/2015/05/espn-logo.png;Leipzig;"Seizoen 2020-2021 - Aflevering 182 van 230 - samenvatting

Samenvatting van de wedstrijd RB Leipzig - TSG Hoffenheim uit de 29e speelronde van de Bundesliga."
20210417081500;20210417083000;ESPN;1;https://logodownload.org/wp-content/uploads/2015/05/espn-logo.png;Ajax;"Seizoen 2020-2021 - Aflevering 23 van 325 - samenvatting

Hoogtepunten van de wedstrijd Ajax - Vitesse uit de 3e speelronde van het Eredivisieseizoen 20/21."
20210417083000;20210417091000;ESPN;1;https://logodownload.org/wp-content/uploads/2015/05/espn-logo.png;Feyenoord TV;"Feyenoord TV. Seizoen 2020-2021 - Aflevering 102 van 150

Het laatste nieuws, voor- en nabeschouwingen en reportages rondom Feyenoord."
20210417091000;20210417093000;ESPN;1;https://logodownload.org/wp-content/uploads/2015/05/espn-logo.png;Onvoorspelbaar: Ajax;"Seizoen 2020-2021 - Aflevering 4 van 6

In het voetbalseizoen 2020-2021 peilen Jan Joost van Gangelen en Rafael van der Vaart iedere ronde de voorspellingen van spelers, fans en BN-ers voor een interessante bekerwedstrijd. De twee presentatoren doen zelf ook mee en wie het slechtste voorspelt, levert de volgende aflevering een onvoorspelbare, maar altijd grappige tegenprestatie. In deze aflevering wordt met onder meer Theo Janssen en Sjaak Swart vooruitgeblikt op de finale Ajax - Vitesse."
20210417093000;20210417100000;ESPN;1;https://logodownload.org/wp-content/uploads/2015/05/espn-logo.png;PSV TV;"PSV TV. Seizoen 2020-2021 - Aflevering 72 van 110

Het laatste nieuws, voor- en nabeschouwingen, items en reportages rondom PSV."
20210417100000;20210417110000;ESPN;1;https://logodownload.org/wp-content/uploads/2015/05/espn-logo.png;ESPN Vandaag;"Seizoen 2020-2021 - Aflevering 258 van 365

Een round-up van de dag op ESPN en het belangrijkste en opvallendste (inter)nationale sportnieuws. In ESPN Vandaag wordt de kijker volledig bijgepraat aan de hand van highlights, reportages, rubrieken en social media."
20210417110000;20210417111500;ESPN;1;https://logodownload.org/wp-content/uploads/2015/05/espn-logo.png;SC Cambuur;"Seizoen 2020-2021 - Aflevering 297 van 330 - samenvatting

Samenvatting van SC Cambuur - Helmond Sport uit de Keuken Kampioen Divisie."
20210417111500;20210417113000;ESPN;1;https://logodownload.org/wp-content/uploads/2015/05/espn-logo.png;Roda JC Kerkrade;"Seizoen 2020-2021 - Aflevering 298 van 330 - samenvatting

Samenvatting van Roda JC Kerkrade - NAC Breda uit de Keuken Kampioen Divisie."
20210417113000;20210417114500;ESPN;1;https://logodownload.org/wp-content/uploads/2015/05/espn-logo.png;Leipzig;"Seizoen 2020-2021 - Aflevering 182 van 230 - samenvatting

Samenvatting van de wedstrijd RB Leipzig - TSG Hoffenheim uit de 29e speelronde van de Bundesliga."
20210417114500;20210417121400;ESPN;1;https://logodownload.org/wp-content/uploads/2015/05/espn-logo.png;TOTO KNVB Beker: De weg naar de finale;"Seizoen 2020-2021 - Aflevering 33 van 35

Op 18 april 2021 spelen Ajax en Vitesse de bekerfinale. In dit programma zien we de weg naar De Kuip die beide clubs aflegden."
